Bsku,c_Desc,unit,buyer
00493,"MISS JESSIES FISHBOWL  6"" x 8""",.00,LISA MOLUSIS
00494,"KUZA HEXAGON FISHBOWL  6"" x 8""",.00,LISA MOLUSIS
00495,"RAZAC HEXAGN FISHBOWL  6"" x 8""",.00,LISA MOLUSIS
00496,"CCW GLOBE CONTAINER    6"" x 7""",.00,LISA MOLUSIS
00497,EMPTY FISHBOWL,10.00,ROCKY PICCIRILLO
00498,"CCW GLOBE CONTAINER 5"" x 6""",.00,LISA MOLUSIS
00499,"HLLYWOOD HEX FISHBOWL  6"" x 8""",9.30,LISA MOLUSIS
00500,ENERGY SURCHARGE,3.24,LISA MOLUSIS
00600,#67931 KUZA CLOCK,2.00,CAROL SANCHEZ
00601,*KUZA BALLOONS  250 PER BAG,.00,CAROL SANCHEZ
00602,KUZA PEN ON STRING,.60,CAROL SANCHEZ
00603,KUZA/JW TROLLEY BACKPACK,.00,CAROL SANCHEZ
00604,KUZA MENS DRESS SHIRT LARGE,2.00,CAROL SANCHEZ
00605,KUZA MENS DRESS SHIRT X-LARGE,2.00,CAROL SANCHEZ
00606,KUZA MENS DRESS SHIRT MEDIUM,2.00,CAROL SANCHEZ
00607,KUZA MENS DRESS SHIRT SMALL,2.00,CAROL SANCHEZ
00608,KUZA WOMENS CAMP SHIRT SMALL,2.00,CAROL SANCHEZ
00609,KUZA FULL ZIP SWEATSHIRT,2.00,CAROL SANCHEZ
00610,KUZA FLASHLIGHT - GREEN,2.00,CAROL SANCHEZ
00611,KUZA CLIPBOARD,2.00,CAROL SANCHEZ
00612,KUZA MENS POLO SHIRT LARGE,2.00,CAROL SANCHEZ
00613,KUZA VEST CHARCOAL MED,2.00,CAROL SANCHEZ
00614,KUZA VEST CHARCOAL LARGE,2.00,CAROL SANCHEZ
01020,*DARB PINK FOAM RLR SML 144pcs,.55,CAROL SANCHEZ
01021,*DARB PINK FOAM RLR MED 144pcs,.85,CAROL SANCHEZ
01022,*DARB PINK FOAM RLR LRG 144pcs,1.00,CAROL SANCHEZ
01023,*DARB PINK FOAM RLR JMB 144pcs,1.35,CAROL SANCHEZ
01024,*DARB BLCK FOAM RLR SML 144pcs,.55,CAROL SANCHEZ
01025,*DARB BLCK FOAM RLR MED 144pcs,.85,CAROL SANCHEZ
01026,*DARB BLCK FOAM RLR LRG 144pcs,1.00,CAROL SANCHEZ
01027,*DARB BLCK FOAM RLR JMB 144pcs,1.35,CAROL SANCHEZ
01030,*DARB 3 IN 1 COMB #901  288pcs,.15,CAROL SANCHEZ
01031,*DARB 3 IN 1 MINI #902  288pcs,.18,CAROL SANCHEZ
01032,DARBEE 3 IN 1 BENDY COMB  #903,.20,CAROL SANCHEZ
01033,DARBEE WAVE COMB          #904,.25,CAROL SANCHEZ
01034,DARBEE CUTTING COMB       #905,.18,CAROL SANCHEZ
01035,DARBEE TEASER COMB        #906,.20,CAROL SANCHEZ
01036,DARBEE RAT TAIL COMB      #907,.24,CAROL SANCHEZ
01037,DARBEE PALM PIK           #908,.18,CAROL SANCHEZ
01038,DARBEE CLAW PIK           #909,.12,CAROL SANCHEZ
01039,DARBEE FLUFF COMB         #910,.15,CAROL SANCHEZ
01040,DARBEE DOUBLE PIK COMB    #911,.18,CAROL SANCHEZ
01050,*DARB COCOA BTR STICK 1z288pcs,1.04,CAROL SANCHEZ
01060,*KEWEE OIL 12pcDISPLAY 2z 6pcs,1.483,CAROL SANCHEZ
01111,*BLK OPAL COSMETIC BARGAIN BOX,10.00,LISA MOLUSIS
01200,RITE-AID DAMAGE ALLOWANCE,.00,LISA MOLUSIS
01201,RETURNED MERCHANDISE,.00,LISA MOLUSIS
01202,INTERNAL SHORTAGE OF MERCH.,.00,LISA MOLUSIS
01203,BILLING ERROR,.00,LISA MOLUSIS
01204,CREDIT,.00,LISA MOLUSIS
01205,RETURNED MERCHANDISE,.00,LISA MOLUSIS
01206,DISCONTINUED MERCH. CREDIT,.00,LISA MOLUSIS
01207,CREDIT ALLOWANCE NOT TAKEN,.00,LISA MOLUSIS
01208,SHOW CREDIT,.00,LISA MOLUSIS
01209,BACK HAUL ALLOWANCE,.00,LISA MOLUSIS
01210,CLAIROL $25 REBATE CREDIT,.00,LISA MOLUSIS
01211,DELIVERY CHARGE ORDER <$150.00,.00,LISA MOLUSIS
01212,ORGANIX #61210 PRODUCT RECALL,.00,LISA MOLUSIS
01371,MISSBeauty3361371personalITEMS,.00,LISA MOLUSIS
01405,TREASURE HUNT 80 CARTON PALLET,.46,ROCKY PICCIRILLO
01420,*D&L SO.AFRICA KIT #420 24 PCS,.00,ROCKY PICCIRILLO
01453,*HAIR TEX MAGAZINE       20pcs,.00,CAROL SANCHEZ
01500,"AFR.AMER ASSORT""TREASURE HUNT""",.46,ROCKY PICCIRILLO
01501,"AFR.AMER ASSORT""TREASURE HUNT""",.46,ROCKY PICCIRILLO
01502,TREASURE HUNT 80 CARTON PALLET,.46,ROCKY PICCIRILLO
01503,TREASURE HUNT 80 CARTON PALLET,.46,ROCKY PICCIRILLO
01504,TREASURE HUNT 40 CARTON PALLET,.46,ROCKY PICCIRILLO
01505,TREASURE HUNT 80 CARTON PALLET,.46,ROCKY PICCIRILLO
01506,TREASURE HUNT 80 CARTON PALLET,.46,ROCKY PICCIRILLO
01507,TICKET CHARGE,.46,ROCKY PICCIRILLO
01550,ADV COMFRT HEAT CLEANS OIL  8z,1.86,LISA MOLUSIS
01551,ADV COMFRT TRIP PROT JELLY3.4z,2.86,LISA MOLUSIS
01552,ADV COMFRT HYDRTING LOTION  8z,1.86,LISA MOLUSIS
01553,ADV COMFRT CREAMY OINTMNT 3.4z,2.86,LISA MOLUSIS
01602,ALLWAYS NAT INDIAN HEMP   5.5z,2.885,DAVID KEER
01604,ALLWAYS NAT SHAMPOO        12z,2.24,DAVID KEER
01606,ALLWAYS NAT CONDITIONER    12z,2.24,DAVID KEER
01612,ALLWAYS NAT 911 XDRY TRTMNT 8z,1.865,DAVID KEER
01614,ALLWAYS NAT INDIAN HEMP LT5.5z,2.885,DAVID KEER
01626,ALLWAYS NAT OIL MOISTURIZER12z,2.25,DAVID KEER
01628,ALLWAYS NAT SUPER GRO     5.5z,2.895,DAVID KEER
01632,ALLWAYS NAT SUPER GRO LITE5.5z,2.825,DAVID KEER
01635,ALLWAYS NAT SUPER GRO MAX 5.5z,2.90,DAVID KEER
01638,ALLWAYS NAT ISOGRO        5.5z,2.922,DAVID KEER
01640,ALLWAYS NAT CASTOR OIL HRB5.5z,2.885,DAVID KEER
01642,ALLWAYS NAT CASTOR OIL    5.5z,2.885,DAVID KEER
01644,ALLWAYS NAT 911 HAIR TRTMNT 8z,1.865,DAVID KEER
01650,ALLWAYS NAT 911 HAIR TRTMNT16z,2.41,DAVID KEER
01656,ALLWAYS NAT BRK NO MORE     4z,2.43,DAVID KEER
01662,ALLWAYS NAT 911 SPRITZ      8z,2.015,DAVID KEER
01665,ALLWAYS NAT 911 CREME COND  8z,2.025,DAVID KEER
01668,ALLWAYS NAT 911 XDRY CRM CND8z,2.025,DAVID KEER
01672,ALLWAYS NAT KIT NOLYE RELX REG,3.79,DAVID KEER
01674,ALLWAYS NAT NOLYE RLXR KIT SUP,3.79,DAVID KEER
01676,ALLWAYS NAT RLX KT FMLY PK REG,.00,DAVID KEER
01678,ALLWAYS NAT RLX KT FMLY PK SUP,.00,DAVID KEER
01700,ANDIS-UK SUPRA ZR CLIPPER BLUE,.00,CAROL SANCHEZ
01701,ANDIS-UK CORDLESS T-OUT #74010,3.75,CAROL SANCHEZ
01702,ANDIS#69105 PROALLOY CLIPPER,.00,CAROL SANCHEZ
01704,ANDIS#73005 PROLI CORDLESS#LCL,2.50,CAROL SANCHEZ
01706,ANDIS#66225 PRO ADJUST CLIPPER,.00,CAROL SANCHEZ
01708,ANDIS#05100 T-OUTLINER TRIMMER,.00,CAROL SANCHEZ
01710,ANDIS#32445 SLIMLINE PRO TRIMR,2.50,CAROL SANCHEZ
01712,ANDIS#32655 SLIMLN TBLADE TRIM,.00,CAROL SANCHEZ
01714,ANDIS#17170 PROFOIL SHAVER#TS1,.00,CAROL SANCHEZ
01716,ANDIS-UK T-LINER TRIMMER  #D4D,.00,CAROL SANCHEZ
01718,ANDIS-UK T-EDGER II CORDLS#D3T,.00,CAROL SANCHEZ
01720,ANDIS-UK SLIMLINE 3 TRIMR#BTF3,.00,CAROL SANCHEZ
01722,ANDIS#04820 SUPERLINER T-BLADE,.00,CAROL SANCHEZ
01724,ANDIS CLIPPER EURO MODEL  #PMC,.00,CAROL SANCHEZ
01726,ANDIS CLIPPER EURO MODEL #PMC2,.00,CAROL SANCHEZ
01728,ANDIS CLIPPER EURO MODEL #ACM1,.00,CAROL SANCHEZ
01730,ANDIS CLIPPER EURO MODEL #HVS1,.00,CAROL SANCHEZ
01732,ANDIS CLIPPER EURO MODEL #HVD1,.00,CAROL SANCHEZ
01734,ANDIS CLIPPER EURO MODEL  #MI6,.00,CAROL SANCHEZ
01735,ANDIS-UK RBC w/BLADE#000  #RBC,.00,CAROL SANCHEZ
01736,ANDIS-UK MVP 2SPEED SILVER#MVP,.00,CAROL SANCHEZ
01737,ANDIS#66380 FADE CLIPPER GOLD,.00,CAROL SANCHEZ
01738,ANDIS#04840 T-OUTLINER BLACK,.00,CAROL SANCHEZ
01739,ANDIS-UK T-EDJER III TRIMR #D7,.00,CAROL SANCHEZ
01740,ANDIS-UK CORDLESS TRIMMER #PS1,.00,CAROL SANCHEZ
01741,ANDIS#12750COOLCARE15z*NIGERIA,2.60,CAROL SANCHEZ
01742,ANDIS#13430 PERSONAL FAST TRIM,.00,CAROL SANCHEZ
01750,ANDIS SUPRAZR II CLIPPER#79005,3.375,CAROL SANCHEZ
01751,ANDIS BEAUTY MASTER PLUS#66360,3.19,CAROL SANCHEZ
01752,ANDIS SIZE 0 ATTACHMENT COMBS,.00,CAROL SANCHEZ
01753,ANDIS SIZE 2 ATTACHMENT COMBS,.00,CAROL SANCHEZ
01754,ANDIS CHARM TRIMMR WHITE#72265,3.11,CAROL SANCHEZ
01755,ANDIS CHARM TRIMMR BLACK#72275,3.11,CAROL SANCHEZ
01760,ANDIS T-OUT CORDLESS Li #74000,3.25,CAROL SANCHEZ
01761,"ANDIS TITANIUM 1-1/4""CURL IRON",2.40,CAROL SANCHEZ
01762,"ANDIS TITANIUM  3/4"" CURL IRON",2.40,CAROL SANCHEZ
01763,"ANDIS TITANIUM  1/2"" CURL IRON",2.40,CAROL SANCHEZ
01765,ANDIS PRO DRYER PLUS    #82360,2.40,CAROL SANCHEZ
01768,ANDIS BLADE ZERO GAPPER #04880,2.00,CAROL SANCHEZ
01772,ANDIS PROFOIL SHAVER    #17150,2.80,CAROL SANCHEZ
01773,ANDIS PROFOIL FOIL&CUTTR#17155,1.25,CAROL SANCHEZ
01774,ANDIS PROFOIL FOIL      #17160,1.25,CAROL SANCHEZ
01775,ANDIS PRO ALLOY CLIPPER #69100,2.625,CAROL SANCHEZ
01776,ANDIS CORDLESS ENVY Li  #73000,2.625,CAROL SANCHEZ
01777,ANDIS ENVY BARBER POLE  #66530,2.50,CAROL SANCHEZ
01778,ANDIS SLIML2 BARBER POLE#24875,14.50,CAROL SANCHEZ
01780,ANDIS T-OUT BLACK TRIMMR#04770,2.75,CAROL SANCHEZ
01790,ANDIS STYLER 1875wt     #85020,2.44,CAROL SANCHEZ
01791,ANDIS STYLER PIK ATTACHMENT2pk,2.24,CAROL SANCHEZ
01792,ANDIS SOFT BRUSH ATTACHMENT ,2.24,CAROL SANCHEZ
01797,ANDIS PROALLOY ACRYLIC DISPLAY,.00,CAROL SANCHEZ
01798,ANDIS ENVY LI ACRYLIC DISPLAY,.00,CAROL SANCHEZ
01900,AMPRO PROTEIN GEL           6z,2.86,DAVID KEER
01902,AMPRO CLEAR GEL 12 PACK  4z+2z,.00,DAVID KEER
01903,AMPRO PROTEIN GEL SUPER     6z,2.86,DAVID KEER
01904,AMPRO PROTEIN GEL          10z,3.65,DAVID KEER
01905,AMPRO NEUTRA FOAM SHAMPOO  16z,2.46,DAVID KEER
01906,AMPRO PROTEIN GEL CLEAR     6z,2.87,DAVID KEER
01907,AMPRO NEUTRA FOAM CONDITION16z,2.46,DAVID KEER
01908,AMPRO PROTEIN GEL          32z,4.88,DAVID KEER
01909,AMPRO PROTEIN GEL CLEAR    15z,3.69,DAVID KEER
01910,AMPRO MARCEL WAX           12z,3.69,DAVID KEER
01911,AMPRO PRE CREM SEN SCALP   12z,3.69,DAVID KEER
01912,AMPRO PROTEIN GEL          15z,3.68,DAVID KEER
01913,AMPRO PROTEIN GEL CLEAR  5 LBS,.00,DAVID KEER
01914,AMPRO PROTEIN GEL        5 LBS,5.91,DAVID KEER
01915,AMPRO PROTEIN GEL SUPER  5 LBS,5.88,DAVID KEER
01916,AMPRO MARCEL WAX            4z,2.895,DAVID KEER
01917,AMPRO GEL 4z/ MARCEL WAX  2zNC,2.85,DAVID KEER
01918,AMPRO GEL 4z/CLEAR GEL    2zNC,2.85,DAVID KEER
01919,AMPRO WRAP N STYL LOTION   16z,2.43,DAVID KEER
01920,AMPRO NEUTRA FOAM SHAMPOO   8z,1.96,DAVID KEER
01921,AMPRO GEL 4z/RESTORATION  1zNC,2.85,DAVID KEER
01922,AMPRO PRE CREME BASE     4.6LB,5.96,DAVID KEER
01923,AMPRO PRE CREME SENS SCALP 3LB,5.96,DAVID KEER
01924,AMPRO PROTEIN GEL SUPER    10z,3.65,DAVID KEER
01925,AMPRO PROTEIN GEL SUPER    32z,4.86,DAVID KEER
01927,AMPRO GEL 4z/CHOLESTEROL 2z NC,2.85,DAVID KEER
01928,AMPRO PROTEIN GEL CLEAR    10z,3.67,DAVID KEER
01929,AMPRO PROTEIN GEL SUPER    15z,3.69,DAVID KEER
01930,AMPRO PROTEIN GEL CLEAR    32z,4.86,DAVID KEER
01931,AMPRO CHOLESTROL CONDITION  4z,2.85,DAVID KEER
01932,AMPRO BERGAMOT CONDITIONER  4z,2.85,DAVID KEER
01933,AMPRO BRAID SHEEN SPRAY    12z,2.30,DAVID KEER
01934,AMPRO PURPLE RAIN GEL REG   6z,3.67,DAVID KEER
01935,AMPRO PURPLE RAIN GEL MEGA  6z,3.67,DAVID KEER
01936,AMPRO CURL ACTIVATOR GEL    8z,2.00,DAVID KEER
01937,AMPRO PURPLE RAIN GLOSS SPR 6z,1.75,DAVID KEER
01938,AMPRO PURPLE RAIN STY FOAM7.1z,1.91,DAVID KEER
01939,AMPRO PROT GEL6z/PURPLE RAIN2z,2.89,DAVID KEER
01940,AMPRO PROTEIN GEL6z/CLEARGEL2z,.00,DAVID KEER
01941,AMPRO PROTEIN GEL REG 10z2PACK,3.63,DAVID KEER
01942,AMPRO PROTEIN GEL CLEAR10z 2PK,.00,DAVID KEER
01943,AMPRO PROTEIN GEL SUPER10z 2PK,3.63,DAVID KEER
01944,AMPRO BERRY ICE PINK GEL    6z,2.813,DAVID KEER
01945,AMPRO BERRY ICE PINK GEL   10z,3.625,DAVID KEER
01946,AMPRO BERRY ICE PINK GEL   15z,3.625,DAVID KEER
01947,AMPRO BERRY ICE PINK GEL   32z,4.75,DAVID KEER
01948,AMPRO BERRY ICE PINK GEL   5lb,6.75,DAVID KEER
01949,PRO STYL HAIR POLISH LIMON  5z,2.13,DAVID KEER
01950,PRO STYL HAIR POLISH MARMAL 5z,2.13,DAVID KEER
01951,PRO STYL HAIR POLISH OLIVE  5z,2.13,DAVID KEER
01952,SHINEnJAM BLACK CASTOR GEL  8z,3.625,DAVID KEER
01953,SHINEnJAM BLACK CASTOR GEL 16z,3.625,DAVID KEER
01954,AMPRO PROTEIN GEL 6oz     BOGO,.00,DAVID KEER
01955,AMPRO PREMIUM PACK         3pc,6.62,DAVID KEER
01956,AMPRO BERRY PINK GEL 10z  BOGO,.00,DAVID KEER
01957,SHINEnJAM BLACK CASTOR GEL 32z,3.625,DAVID KEER
01958,AMPRO SHINEnJAM GEL REGULAR 4z,2.89,DAVID KEER
